iter	PRAUC	Logloss
0	0.7617503174	0.6858880393
1	0.770892342	0.678900547
2	0.7801164107	0.6718483992
3	0.7835168941	0.6652691908
4	0.7831302921	0.6598910545
5	0.7842278148	0.6541545582
6	0.7848677706	0.6490118678
7	0.7852113428	0.6444177853
8	0.7848218052	0.6399708189
9	0.7858443531	0.6354397056
10	0.7864428828	0.6317388239
11	0.7870995723	0.6277999728
12	0.7873922668	0.6239711505
13	0.7876990956	0.6205473437
14	0.7880554367	0.6171890665
15	0.788175997	0.6143336538
16	0.7882367967	0.6117284167
17	0.7887783673	0.6091090713
18	0.7887849729	0.6065589286
19	0.7890969753	0.6039660471
20	0.788938639	0.6018722378
21	0.7889736527	0.5997903217
22	0.7890615371	0.597753314
23	0.7894539846	0.5957637131
24	0.7899366292	0.5938018509
25	0.7901097649	0.5922791192
26	0.7901655169	0.5905742842
27	0.7903510908	0.5890916774
28	0.7904955551	0.5877423515
29	0.7906722193	0.5864270965
30	0.7908889235	0.585033275
31	0.7910599295	0.5837525696
32	0.7911684678	0.5826201502
33	0.7912163664	0.5816193221
34	0.7911897324	0.5806737005
35	0.7913102902	0.5798516897
36	0.7914531215	0.5788359448
37	0.7915926589	0.5778285951
38	0.7917124021	0.5768722843
39	0.7919098	0.5759834441
40	0.7919044131	0.5752348739
41	0.7919973893	0.5744376444
42	0.7921396393	0.5736773598
43	0.7925175983	0.5726694644
44	0.792575954	0.5720685793
45	0.7927745135	0.5713598841
46	0.7930652012	0.5706352562
47	0.7931515562	0.5701141627
48	0.7934526946	0.5694569926
49	0.7935988199	0.568818499
50	0.7936456058	0.5683761634
51	0.7938164117	0.5678301044
52	0.7940272935	0.5673014197
53	0.7944093878	0.5667865291
54	0.7945061548	0.5663851953
55	0.7945579464	0.5660256276
56	0.7946886843	0.5656422864
57	0.7949179806	0.5651302108
58	0.7950421214	0.5646822341
59	0.7951710329	0.564242197
60	0.7952328536	0.5639025405
61	0.7954419912	0.5634981721
62	0.7955394614	0.5631874106
63	0.7956078444	0.5629521672
64	0.7957161286	0.5627280635
65	0.7958703122	0.5622962066
66	0.7959412449	0.5620682972
67	0.7960779787	0.5616614882
68	0.7961210562	0.5614010588
69	0.7963063669	0.561037629
70	0.7963789629	0.5608015604
71	0.796535398	0.5604648377
72	0.7967469355	0.5601768458
73	0.796828184	0.5598832675
74	0.7970236653	0.5595724769
75	0.7971713837	0.5592740996
76	0.7972496306	0.5590135422
77	0.7973327297	0.5587217606
78	0.7973924407	0.5585143866
79	0.7975420889	0.5582890237
80	0.7976622719	0.5579890468
81	0.7977129449	0.5578341852
82	0.7977843289	0.5576175828
83	0.7978819144	0.5574113894
84	0.7979820033	0.5571865772
85	0.7981528496	0.5569549796
86	0.7982873137	0.5567260259
87	0.7984067602	0.5564424946
88	0.7985097946	0.5562148711
89	0.7985806788	0.5560894268
90	0.7986623564	0.5558940045
91	0.798858201	0.5556831424
92	0.7988435361	0.5556485957
93	0.7989001296	0.5554122131
94	0.7990056775	0.5552501529
95	0.7990515962	0.5550938318
96	0.7990388721	0.5550604284
97	0.7991256256	0.5548948205
98	0.7993161737	0.5546455027
99	0.7993895705	0.5544727183
100	0.799414229	0.5543111858
101	0.7995516609	0.5540673485
102	0.7997003405	0.5538125641
103	0.7997598823	0.5536743571
104	0.7998773472	0.5534764915
105	0.7999535919	0.5533505789
106	0.7999866674	0.5532519593
107	0.800119726	0.5530265823
108	0.8001743774	0.5529086333
109	0.8002487044	0.552756269
110	0.8003089183	0.552602529
111	0.8003989217	0.5524676265
112	0.8004520614	0.5523706026
113	0.8005861343	0.5521634633
114	0.8007103478	0.5519238476
115	0.8008204589	0.5517578192
116	0.8008909997	0.5515664279
117	0.8009975866	0.5514130613
118	0.8010819124	0.5512242894
119	0.8012526262	0.5509946911
120	0.8012827066	0.5509391277
121	0.8013782904	0.5508048175
122	0.8014444728	0.5506852342
123	0.8015306836	0.5505249286
124	0.8016097245	0.5503204521
125	0.8017581749	0.5501625436
126	0.8018383689	0.5500353931
127	0.8019083527	0.5498973328
128	0.8020502771	0.5497326912
129	0.8021801996	0.5495694577
130	0.8022341554	0.549458084
131	0.802351344	0.5493151843
132	0.8023863771	0.5491866983
133	0.8024991633	0.5489914302
134	0.8025486467	0.5489018846
135	0.8026509356	0.5487439721
136	0.8027541736	0.5485753961
137	0.8028868379	0.5484058775
138	0.802961042	0.5482881907
139	0.8030048854	0.5482343835
140	0.8030474192	0.5481595769
141	0.803225861	0.5479940294
142	0.8033038197	0.5478747193
143	0.8033688999	0.5477527329
144	0.8034704571	0.5476169672
145	0.803581452	0.5474565811
146	0.8036483791	0.5473369272
147	0.8037743664	0.5471790052
148	0.8039580851	0.5470063696
149	0.8040553277	0.5468058974
150	0.8041084785	0.5466813785
151	0.8041665354	0.5465665861
152	0.8042604318	0.5464172293
153	0.804329369	0.5463647911
154	0.8043621936	0.546300873
155	0.8044225319	0.5462029767
156	0.8045116872	0.5460185393
157	0.8045497669	0.5459645019
158	0.8045954031	0.5458936354
159	0.8046386605	0.5457904323
160	0.8047155677	0.5457152286
161	0.8047825575	0.5456177095
162	0.8048078512	0.5455244129
163	0.8048710232	0.5454252433
164	0.8049666777	0.5452665057
165	0.8050657915	0.5451455317
166	0.8051962774	0.5449759072
167	0.8052716857	0.5448961594
168	0.805292953	0.5448895288
169	0.8053468379	0.5448098209
170	0.8054891146	0.5446088998
171	0.8056093591	0.5445260097
172	0.80572929	0.5443724379
173	0.8057946479	0.5442851224
174	0.8058862465	0.5441823699
175	0.8059656756	0.5440394328
176	0.806095498	0.5438912123
177	0.8062056125	0.5437642327
178	0.8062517664	0.5436796411
179	0.8063094931	0.5435662627
180	0.8064184364	0.5434239773
181	0.8064917225	0.5433089684
182	0.806661606	0.5431492497
183	0.8067613887	0.543009914
184	0.8068342066	0.5429310707
185	0.8068895449	0.5428673072
186	0.8069872147	0.5427775616
187	0.807085229	0.5426335183
188	0.8071345906	0.5425769162
189	0.8072159074	0.5424578276
190	0.8072898567	0.5423490489
191	0.8073533035	0.5421950686
192	0.8074299595	0.5421063359
193	0.8075110755	0.5419776524
194	0.807584226	0.5418785674
195	0.8076579919	0.5417867318
196	0.8077475931	0.5416891414
197	0.807845858	0.5416071209
198	0.8079339196	0.5415102121
199	0.8081216065	0.541303263
200	0.8081610855	0.5412115942
201	0.8082290473	0.5410817853
202	0.8082720679	0.5410014778
203	0.808422127	0.5408905748
204	0.8085105556	0.5408342975
205	0.8085446616	0.5408040254
206	0.8086216859	0.5406685748
207	0.808684061	0.540587072
208	0.8087363217	0.5404925906
209	0.8087544	0.5404403198
210	0.8088393407	0.5403555984
211	0.8089691123	0.5401947736
212	0.8090471619	0.5400596103
213	0.8091453438	0.5399451883
214	0.8092084198	0.5398855476
215	0.8092726116	0.5397878252
216	0.8093628704	0.5396974901
217	0.8094089123	0.5396244115
218	0.8095017011	0.5394848777
219	0.8096102066	0.5393166604
220	0.8096561319	0.5392018895
221	0.8096968235	0.5391473904
222	0.8097552814	0.5390705876
223	0.8097989827	0.5390368792
224	0.8098835485	0.5389282591
225	0.8099281302	0.5388728172
226	0.8099712121	0.5387954724
227	0.8100255042	0.5386943786
228	0.8100691012	0.5386492627
229	0.8101527854	0.5385559395
230	0.8102244897	0.5384474978
231	0.8103160838	0.5383114832
232	0.8103822585	0.5382234964
233	0.8104649703	0.5380891336
234	0.8105025979	0.5380306803
235	0.810566695	0.5379500202
236	0.8106292608	0.5378380819
237	0.810681198	0.5377820918
238	0.8107146457	0.5377388344
239	0.810746251	0.5376823403
240	0.8109183039	0.5375599761
241	0.8110205508	0.5374465668
242	0.8111112671	0.5373080212
243	0.8111824952	0.5372483531
244	0.8112426542	0.5371292192
245	0.8113293337	0.5370124125
246	0.8114375454	0.5369386603
247	0.8115088829	0.5368466202
248	0.8115410932	0.5367736352
249	0.8115879086	0.5366839005
250	0.8116012329	0.5366562835
251	0.8116515414	0.5365700287
252	0.8117071555	0.5364681453
253	0.8117820289	0.5364016169
254	0.8118330643	0.5363453265
255	0.8118845408	0.5362701268
256	0.8119449781	0.5362260729
257	0.8120191031	0.5361459768
258	0.8120783054	0.5360810745
259	0.8121190875	0.53604324
260	0.8122918458	0.5359468353
261	0.8123497793	0.5358290956
262	0.8124518309	0.5356629376
263	0.8124793157	0.5355705938
264	0.8125428866	0.5354835978
265	0.8125786477	0.5354037198
266	0.8125760818	0.5353983268
267	0.8126281371	0.5353314387
268	0.81267242	0.535277482
269	0.8126770793	0.5352658984
270	0.8127438563	0.5352022469
271	0.8127848593	0.535120616
272	0.8128043426	0.535086486
273	0.8128535005	0.5350189341
274	0.8130048088	0.5348138441
275	0.8130399993	0.5347577714
276	0.8131649585	0.5346100895
277	0.8132347934	0.5345161453
278	0.8132787774	0.5344634238
279	0.8133676783	0.5343551098
280	0.8134242639	0.5342806456
281	0.8135221268	0.534181026
282	0.8135797151	0.5340916707
283	0.8136774285	0.5339365005
284	0.8137645452	0.5338389319
285	0.8138316008	0.5337548256
286	0.8139212108	0.5336671951
287	0.813992976	0.5335926124
288	0.8140712212	0.5334561039
289	0.8141717102	0.5332944474
290	0.81421633	0.5332211423
291	0.8143204502	0.5331165206
292	0.8143948709	0.5330095192
293	0.8144474608	0.5329643976
294	0.8144834626	0.532905636
295	0.8145197539	0.5328283933
296	0.8146243488	0.532750298
297	0.814668306	0.5326935661
298	0.8147469878	0.5325618825
299	0.8147796678	0.5324833574
300	0.8147971639	0.5324509705
301	0.8148274252	0.532414683
302	0.8149037956	0.5323456887
303	0.8149467779	0.5323062091
304	0.8149425213	0.5322797538
305	0.8150118122	0.5321855062
306	0.8150592058	0.5321258326
307	0.8151213436	0.5320508228
308	0.8151617056	0.531991075
309	0.815253416	0.5318798569
310	0.8153219049	0.5318192564
311	0.8153626465	0.5317563321
312	0.8155048453	0.5315694353
313	0.8155290643	0.5315199825
314	0.8155445522	0.5314965209
315	0.8155903215	0.53141266
316	0.8156473405	0.5313802658
317	0.8157331022	0.5312814085
318	0.8157831358	0.5312180975
319	0.8158544837	0.531103767
320	0.8159254493	0.5309995482
321	0.8159818572	0.5309145346
322	0.8160909985	0.5308473768
323	0.8161712912	0.5307451155
324	0.8162696158	0.530613498
325	0.816334095	0.5305563255
326	0.8163772655	0.5305046796
327	0.8164790259	0.5303538191
328	0.8165713298	0.5302273774
329	0.8166444208	0.5301195213
330	0.8167286201	0.53000982
331	0.8168005309	0.5298877237
332	0.816857794	0.5298091447
333	0.8169344513	0.5296792561
334	0.8170153071	0.5295466207
335	0.8170845368	0.5294599874
336	0.8171912943	0.5293444763
337	0.8172315012	0.5292795264
338	0.8173295246	0.5291620931
339	0.8174322164	0.5290673065
340	0.8174703725	0.5290272022
341	0.817547969	0.5289262428
342	0.8175807138	0.5288775947
343	0.8176435092	0.5288123892
344	0.8177119564	0.5287205381
345	0.8177453356	0.5286492615
346	0.8178255251	0.5285051058
347	0.8178679157	0.5284314667
348	0.8179647331	0.5283386862
349	0.8180907272	0.528156882
350	0.8181463367	0.5280373298
351	0.8182442964	0.5279185776
352	0.8183690315	0.5277441012
353	0.8184890513	0.5275965227
354	0.8186143979	0.5275120389
355	0.8186874206	0.5274288296
356	0.818798004	0.5273054107
357	0.8188877697	0.5272065966
358	0.8190252185	0.5270188294
359	0.8190943118	0.5269034924
360	0.8191721281	0.5268145185
361	0.8192946389	0.5266980507
362	0.8193643271	0.5266298911
363	0.8194522318	0.5265208675
364	0.8195052039	0.5264771994
365	0.8195544097	0.5264173866
366	0.8196566778	0.5262804695
