iter	Passed	Remaining
0	51	20562
1	98	19580
2	145	19189
3	184	18291
4	226	17871
5	267	17581
6	311	17497
7	352	17296
8	395	17178
9	441	17232
10	482	17048
11	521	16875
12	564	16800
13	607	16748
14	653	16770
15	701	16833
16	740	16688
17	781	16575
18	829	16636
19	872	16574
20	915	16527
21	955	16418
22	1010	16561
23	1061	16630
24	1114	16714
25	1181	17001
26	1224	16914
27	1265	16819
28	1305	16705
29	1346	16603
30	1388	16531
31	1431	16466
32	1469	16343
33	1507	16230
34	1550	16170
35	1599	16168
36	1639	16085
37	1682	16024
38	1721	15938
39	1763	15874
40	1795	15723
41	1837	15661
42	1889	15687
43	1930	15622
44	1973	15567
45	2019	15539
46	2059	15466
47	2097	15383
48	2143	15352
49	2185	15298
50	2225	15232
51	2265	15163
52	2316	15167
53	2358	15113
54	2404	15080
55	2448	15043
56	2491	14991
57	2531	14925
58	2570	14856
59	2609	14785
60	2664	14807
61	2705	14749
62	2742	14671
63	2779	14594
64	2817	14518
65	2855	14449
66	2899	14413
67	2941	14362
68	2991	14351
69	3032	14294
70	3075	14251
71	3120	14215
72	3161	14160
73	3204	14117
74	3249	14080
75	3300	14071
76	3345	14032
77	3395	14016
78	3435	13959
79	3474	13898
80	3524	13879
81	3575	13864
82	3622	13833
83	3659	13768
84	3700	13712
85	3743	13669
86	3782	13609
87	3823	13555
88	3862	13498
89	3907	13458
90	3945	13396
91	3985	13342
92	4019	13267
93	4070	13251
94	4110	13196
95	4153	13152
96	4187	13081
97	4234	13050
98	4283	13024
99	4337	13012
100	4382	12973
101	4427	12935
102	4476	12909
103	4541	12924
104	4589	12894
105	4635	12856
106	4673	12798
107	4711	12738
108	4750	12682
109	4801	12659
110	4842	12607
111	4883	12557
112	4922	12503
113	4962	12450
114	5005	12405
115	5048	12359
116	5088	12308
117	5142	12289
118	5187	12249
119	5237	12220
120	5282	12181
121	5325	12134
122	5367	12088
123	5415	12053
124	5456	12005
125	5498	11956
126	5539	11907
127	5582	11863
128	5626	11819
129	5673	11783
130	5721	11749
131	5803	11783
132	5844	11732
133	5888	11688
134	5930	11642
135	5970	11590
136	6009	11537
137	6057	11499
138	6097	11448
139	6137	11398
140	6184	11360
141	6226	11313
142	6266	11261
143	6309	11216
144	6351	11169
145	6398	11130
146	6438	11081
147	6487	11045
148	6529	11000
149	6572	10953
150	6610	10901
151	6650	10850
152	6708	10830
