feature,importance
pay_0,20.353374495520402
limit_bal,9.984661196271327
bill_amt1,8.549258566353505
pay_amt3,4.547923035424239
pay_amt1,4.43874323700919
bill_amt2,4.4060072322400226
pay_amt2,4.396305310835028
education,4.344466661150164
pay_3,3.4205526567685953
pay_2,3.281668306248895
pay_amt4,2.971215016738775
pay_4,2.8842230591739213
age,2.6910321422561254
bill_amt3,2.595955623575553
bill_amt4,2.5246611125733276
pay_6,2.523340004769437
pay_amt5,2.479937971359238
sex,2.460780819955139
pay_amt6,2.399050614892548
bill_amt6,2.3765488965281847
marriage,2.2062579653092915
bill_amt5,2.129665086387474
pay_5,2.0343709886596026
